"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YKL098W",244.892757608917,0.31178945270597,0.0924020987014639,3.37426808576405,0.000740122503082635,0.00274364416583914
"YKL114C",413.130350735617,0.0314608304971116,0.0786879820575952,0.399817477516249,0.689290956847611,0.791869050162883
"YKL145W",3305.49314944622,0.0416179731990248,0.0249876246970174,1.66554339212532,0.0958043940954956,0.179708643074378
"YKL057C",672.775496654376,-0.361221709729522,0.0568682947339059,-6.35189979618212,2.12671848232053e-10,2.30770081674317e-09
"YKL106C-A",2.91199676950116,-0.0408515814010114,1.51612918864459,-0.0269446572937049,0.978503875063966,0.988153219902809
"YKL128C",163.604600693855,0.101012414737765,0.113281422991616,0.891694437359254,0.372556735924016,0.515025700747944
"YKL008C",208.123404610963,0.0597644809766041,0.100447217370516,0.594983938242442,0.551854207408564,0.680408892154735
"YKL029C",980.852664364992,-0.391280756194144,0.0482338071243066,-8.11216819741697,4.9724405864279e-16,8.35625015473037e-15
"YKR047W",2.27504918945925,-0.424542771875453,0.94492144175101,-0.449288960031158,0.653223220725187,0.76395877741486
"YKL066W",469.880529168723,-0.332988473164291,0.0658496911360061,-5.05679627982668,4.26358265715573e-07,2.9695558698192e-06
"YKL119C",42.1165991091066,0.112702678199539,0.222101654894301,0.507437363549473,0.611847975018061,0.729927063581511
"YEL041W",1917.71451156246,0.815350705833077,0.0336774718146226,24.2105675366954,1.72186392059497e-129,2.50779914123988e-127
"YER011W",47.1378006986012,-0.142746970163367,0.206412663957346,-0.691561105925483,0.489212994048847,0.623551529170778
"YER158W-A",16.478909623491,-0.468054180217976,0.343692155087358,-1.36184132599421,0.173247966358482,0.289633103749212
"snR53",0.385730922462797,1.08211791506232,2.45506203443962,0.440770090483406,0.659379448606823,0.768006558764726
"YER056C-A",1208.08660909098,0.0118054674455799,0.0419998280416072,0.281083709054351,0.778646195958872,0.857256369614387
"YEL067C",114.184357421358,0.830532390429466,0.14916313703162,5.56794665865338,2.57758698755157e-08,2.15478381586901e-07
"YEL054C",190.11808999566,-0.0302163056031072,0.104857279760222,-0.288166025975526,0.773219653560823,0.85300144915631
